,Document,Topic_group
25275,new purchase po wednesday november pm purchase po dear purchased please log installation please take consideration mandatory receipts section order receive item ordered kind regards administrator,Purchase
27632,license for tuesday october pm re starter form hi once please also make arrangements confluence environments stag test test test test license taken care also please provide date thank,Access
14572,access to confluence to outside user pm re confluence user thanks design lead certified re confluence user sorry did find name confluence user hello please advise name user requires confluence regarding error please advise manage please kind regards specialist ext hub friday pm confluence user hello create within getting error while log please provide confluence pricing engine pricing engine thanks colombia affiliates distinct entity responsibility entity acts omissions,Access
40979,not updating sent updating hello teams dear please raise ticket for regarding bellow issue during resolving incident update for server generated by vulnerability performed by observed server fails update jobs february there some updates non installed october investigating logs appropriate configurations seems server cannot connect server according domain policy for domain controllers server receive configurations was expected other configuration set policy trying connect after investigation come with some suggestion change rule for specifying port like seems be more accessible than port closed by for best way be great point server near like for best performance during downloading best regards senior engineer managed,Hardware
41805,windows updates sent thursday re action required updates hello can perform any action installing updates tried times but nothing worked far any help be appreciated thanks regards,Hardware
6030,update with new password thursday october controllers hi thank assistance both controllers accessible available colleagues well kind regards analyst wednesday october pm controllers hello credentials both controllers please kindly forward colleagues credentials thanks engineer,Access
27899,no tickets for thursday october tickets hello tickets available license attached picture friday october re tickets hello respond issue known under resolution process additional products licenses users created stage sincere apologies inconveniences created thanks analyst,Miscellaneous
37996,windows upgrade error upgrade la upgrade mea task sequence upgrade failed with error code for more information contact your administrator or operator please advise regards,Administrative rights
6695,timecard timecard hello please modify timecard logged leave cannot delete logged previously these days thanks regards senior consultant mob zone please refer section entities,HR Support
41379,oracle time card error sent friday card error hello have entry cards status error can delete can can create one for current week please advise how solve issue thank you kind regards analyst,HR Support
28784,new mailbox project queries wednesday october pm re mailbox call october mailbox hi please help mailbox called thank,Storage
17516,missed request for information tuesday missed hi information displayed believe right displayed thanks,Hardware
34957,error error hi have appears be error cannot modify can you please make item editable again can correct thanks senior analyst en,HR Support
36110,leaver form opening issues leaver form opening issues hello colleagues trying open leaver form complete cannot settings set disables should be able open still message received stating something please below print screens advise how proceed also note tried different web browser same issue still there current laptop configuration regards test consultant,HR Support
15348,access card card hello please she staying assign card her name thank engineer ext,Access
7269,laptop upgrade upgrade dear upgrade because experiencing slowdowns impact performance id hence please instruct upgrade upgrading currently upgrading currently provide also transfer rest files looking forward advice thanks interim,Administrative rights
28459,upgrade storey tuesday october re upgrade good morning install failed attached please advise br infrastructure consultant upcoming annual leave wednesday october returning st october october upgrade hello everyone kind reminder please make update latest version assets highly critical perform upgrade by starting next upgrade pushed assets out date find detailed instructions how perform upgrade please note during update process lose approximately minutes questions encounter difficulties upgrading please hesitate thank kind regards ext october upgrade hello everyone please advised update version version assets highly critical perform upgrade during two weeks based availability order avoid virus attacks latest virus database available order update please follow steps more detailed guide found software center by searching software center search menu best endpoint agent install selected wait installation status becomes installed reboot computer icons newly installed endpoint tools note during update process lose approximately minutes questions encounter difficulties upgrading please hesitate thank kind regards ext hub,Administrative rights
12869,change that is no longer part of tuesday july pm re let kind transfer form thanks july pm hello please advised transfer form regarding please provide thank kind regards analyst ext hub july part change thanks entity country discipline person number name name category name number task name type total status commercial concurrent engineering cost regular approved commercial concurrent engineering cost regular submitted pre work proposal prep documentation cost regular submitted bench bench cost regular approved bench bench cost regular submitted leave annual leave submitted leave public holiday leave public holiday leave cost regular approved,Miscellaneous
27511,convert files into wednesday october pm convert files hi please help convert attached files please thank sox controls,Storage
36434,board setup issue board setup issue hello we having issue with setting up column our board key we have added column for ready for test but currently unmapped therefore visible sprint board appears requires administrator access we have able get work please advise thanks manager,Hardware
