,category,text
32612,Clothing & Accessories,"Jainsons Women's Belt This product is made from waxed cotton cord and finished in a attractive white color. Add a stylish element to your look by getting this belt. Crafted from the finest quality fabric, this white colored belt is sturdy and highly durable. It is reversible and comfortable to wear with an eye catching design and alluring colour. This piece will go well with almost every type of attire.belt widrh is 2cm, length is 160cm approx."
15861,Household,"Velkro Krevia Anti Theft Motion Sensor Alarm Lock For Home, Office And Bikes Keep your bike, garage door, garden shed, side gate, tool box or locker, or anything you desire secure with this Heavy Duty 110dB Siren Alarm Padlock. This innovative U lock comes equipped with two settings, armed and unarmed, so you can be alerted by a 105 - 110 db alarm when the lock is tampered with, basically, double the protection. The Heavy Duty Siren Alarm Padlock has a body made of extra strong cast steel, high-grade steel shackle. It is resistant to corrosion, bad weather, physical destroy & Waterproof."
48978,Electronics,"Tewtross Bluetooth Transmitter and Receiver for TV Home Stereo Audio This 3.5mm Aux/RCA connection, the audio Bluetooth transmitter for TV plus Bluetooth receiver for TV edge ahead by also supporting TOSLINK optical cable input and output. So your TV with optical sound output can feed the adapter, and your audio system can also wirelessly connect with the Bluetooth adapter for home stereo. The Bluetooth music receiver stream indefinitely by connecting with a charger or get up to 15 hours of playtime without charging thanks to the latest Bluetooth 4.1 and large internal battery. It is a magic device that can add Bluetooth capability to your Non-Bluetooth audio source device like TV, iPod or CD player and transmit audio to your Bluetooth headphone, speaker or another stereo system."
12119,Household,"Krosno Europe Non-Lead Crystal-Clear Glass, Vivat Champagne Saucer, 200 Ml Set of 6"
368,Household,"Ilu Dream Catcher Wall Hanging Handmade Beaded Circular Net Decoration Ornament Size 16 Cm Diameter Color:Multicolor   This Is A Beautiful Legend About Indian. It Is Said That Both Good Dreams And Bad Dreams Circulate In The Night Air, The Dream Catcher Helps To Get Rid Of The Nightmare. Those Nightmares Are Mounted In The Net, Then Disappear At The First Light Of Dawn While Good Dreams Gently Slid Through The Center Hole Into Sleeper'S Mind. It'S Best Wishes Gift For Your Kids, Parents,Grandparents,Friends,Family And So On. This Beautiful Dream Catcher Is Wall Hanging Art And Great Gift! Plus Peaceful Dreams.For Home Decor Accents,Bedroom,Baby Tent,Kids' Wall Decor,Sitting Room,Balcony,Party Decorative Hanging Ornaments."
2863,Household,"Symphony Ice Cube 27 Ltrs Air Cooler (White/Blue) High efficiency honeycomb cooling pad on three sides. Apart from having this first in the personal cooling category, Ice Cube XL functions with the lowest levels of noise. Bring home this compact, yet mobile power house for a breezy, relaxing experience."
11925,Household,Electomania® 350ml Kitchen Stainless Steel Craft Coffee Milk Latte Jug Cup Frothing （Silvery） Description: Perfect for one cup of coffee Beautiful stainless steel design Molded pouring spout and sturdy handle Milk-frothing pitcher for making cappuccinos and cafe lattes kitchen craft stainless steel jug Stainless steel jugs ideal for serving milk and cream With a mirror polished exterior Material Type(s):stainless steel  Color:sliver Item Size:11*9*8.5 Package Includes:Milk-frothing pitcher X 1
13774,Household,"NOVEL 18/10 Steel Vegetable and Fruit Chipser with 11 Blades 1 Peeler Inside, Chopper, Slicer , Green Specification:NOVEL SMART CHOPPER DICER Easy Vegetable & The multi utility chopper set has everything you need for cutting, dicing, grating, and slicing- Chop onions, zucchini, peppers, celery, tomatoes, hard boiled eggs, cheese, and fruits--then watch as the ingredients transfer instantly from the cutting surface into the bowl below. There's no hassle, and no mess! BENEFITS :--Removable top part with self cleaning function. Fresh keeping lid for container 1,500 ml Easy and Useful For Every Meal.- Professional and Consistent Results Every Time .- Saves You Time and Money.- Safe for kids tool. Safe To Use - Your Fingers Never Touch The Blades.- Easy Clean Up - Dishwasher Safe.- Food Stays Cleaner - Less Handling."
4026,Household,"AH Decals 'Animals Cute 3D Cartoons' Switch Board Wall Sticker (PVC Vinyl, 30 cm x 30 cm) Color:Multicolor1   AH Decals Welcomes you to the leading place on the web to find artistic designs of wall decals and wall stickers. Are you planning to hire an interior designer to spruce up the look of your living or bedroom space? Simply paste this AH Decals wall sticker on any chosen wall in your house and add beauty to the space without spending a fortune. These wall stickers decorate your home just in minutes. Easy installation the surface you wish to attach which gives a amazing look and your decal must be clean and free from dustWall decals and wall stickers are self-adhesive vinyl stickers made for applying to a surface. They are a great alternative to wallpaper, paint or stencils and they give you choiceChoose your space, plan the design you`d like to make, and then apply. They are extremely durable and are available in various designs.It’s extremely easy to apply them on your walls or any flat, smooth surface"
23246,Books,"The Boy in the Striped Pajamas From Booklist Gr. 7-10. Some of the most thought-provoking Holocaust books are about bystanders, including those who say they did not know what was happening. This first novel tells the bystander story from the viewpoint of an innocent child. Bruno is nine when his family moves from their luxurious Berlin home to the country, where ""the Fury"" has appointed Bruno's father commandant. Lost and lonely, the child hates the upheaval, while his stern but kind father celebrates his success because he has learned to follow orders. Bruno can see a concentration camp in the distance, but he has no idea what is going on, even when he eventually meets and makes friends with Shmuel, a boy from Cracow, who lives on the other side of the camp fence. The boys meet every day. They even discover that they have the same birthday. It's all part of a poignant construct: Shmuel is Bruno's alternative self, and as the story builds to a horrifying climax, the innocent's experience brings home the unimaginable horror. Pair this with Anne Frank's classic diary and Anita Lobel's No Pretty Pictures: A Child of War (1998). Hazel RochmanCopyright © American Library Association. All rights reserved  Review ""Certain to be one of the publishing sensations of 2006."" -The Observer (U.K.)""A memorable and moving story."" -The Oxford Times (U.K.)""A small wonder of a book."" -The Guardian (U.K.)""A book so simple, so seemingly effortless, that it's almost perfect."" -The Irish Independent""An extraordinary book."" -The Irish Examiner               See all Product description"
38496,Clothing & Accessories,"ALCiS Women's Leggings Step into your training schedule and maximize the power of your mind, body and energy with these Navy Blue tights from Alcis. Stay focused, go further, be invincible and achieve balance in these capris made from 90% Polyester & 10% Lycra (Imported Fabric). These tights are designed with Drytech+ , Anti Statix & Stretch-X technology for women with ambitious fitness goals to enhance their workout."
